Abeillia abeillei_Smaragdkehlkolibri
Abroscopus albogularis_Rostwangen-Dickichtsänger
Abroscopus superciliaris_Bambusdickichtsänger
Aburria aburri_Lappenguan
Acanthagenys rufogularis_Braunkehl-Honigfresser
Acanthidops bairdi_Vulkanammertangare
Acanthis cabaret_Alpenbirkenzeisig
Acanthis flammea_Taigabirkenzeisig
Acanthis hornemanni_Polarbirkenzeisig
Acanthisitta chloris_Grünstummelschwanz
Acanthiza apicalis_Stelzschwanz-Dornschnabel
Acanthiza chrysorrhoa_Gelbbürzel-Dornschnabel
Acanthiza ewingii_Tasmandornschnabel
Acanthiza inornata_Walddornschnabel
Acanthiza lineata_Stricheldornschnabel
Acanthiza nana_Gelbbauch-Dornschnabel
Acanthiza pusilla_Roststirn-Dornschnabel
Acanthiza reguloides_Goldhähnchen-Dornschnabel
Acanthiza robustirostris_Graurücken-Dornschnabel
Acanthiza uropygialis_Braunbürzel-Dornschnabel
Acanthorhynchus superciliosus_Buntkopf-Honigfresser
Acanthorhynchus tenuirostris_Rotnacken-Honigfresser
Accipiter badius_Schikrasperber
Accipiter bicolor_Zweifarbhabicht
Accipiter cirrocephalus_Halsringsperber
Accipiter cooperii_Rundschwanzhanicht
Accipiter erythronemius_Rotschenkelsperber
Accipiter fasciatus_Bänderhabicht
Accipiter gentilis_Habicht
Accipiter gularis_Trillersperber
Accipiter hiogaster_Inselhabicht
Accipiter melanoleucus_Dominohabicht
Accipiter minullus_Zwergsperber
Accipiter nisus_Sperber
Accipiter novaehollandiae_Grauhabicht
Accipiter poliogaster_Graubauchhabicht
Accipiter striatus_Eckschwanzsperber
Accipiter superciliosus_Däumlingssperber
Accipiter tachiro_Afrikahabicht
Accipiter trinotatus_Fleckschwanzsperber
Accipiter trivirgatus_Schopfhabicht
Accipiter ventralis_Andensperber
Accipiter virgatus_Besrasperber
Aceros nipalensis_Nepalhornvogel
Acridotheres burmannicus_Burmamaina
Acridotheres cristatellus_Haubenmaina
Acridotheres fuscus_Dschungelmaina
Acridotheres ginginianus_Ufermaina
Acridotheres grandis_Riesenmaina
Acridotheres tristis_Hirtenmaina
Acrocephalus agricola_Feldrohrsänger
Acrocephalus arundinaceus_Drosselrohrsänger
Acrocephalus australis_Australrohrsänger
Acrocephalus baeticatus_Zimtrohrsänger
Acrocephalus bistrigiceps_Brauenrohrsänger
Acrocephalus dumetorum_Buschrohrsänger
Acrocephalus gracilirostris_Kaprohrsänger
Acrocephalus kerearako_Cookinsel-Rohrsänger
Acrocephalus melanopogon_Mariskenrohrsänger
Acrocephalus newtoni_Madagaskarrohrsänger
Acrocephalus orientalis_Chinarohrsänger
Acrocephalus paludicola_Seggenrohrsänger
Acrocephalus palustris_Sumpfrohrsänger
Acrocephalus rufescens_Papyrusrohrsänger
Acrocephalus schoenobaenus_Schilfrohrsänger
Acrocephalus scirpaceus_Teichrohrsänger
Acrocephalus stentoreus_Stentorrohrsänger
Acrocephalus tangorum_Mandschurenrohrsänger
Acropternis orthonyx_Perlmanteltapaculo
Actenoides concretus_Malaienliest
Actenoides hombroni_Mindanaoliest
Actenoides lindsayi_Tropfenliest
Actenoides monachus_Einsiedlerliest
Actinodura cyanouroptera_Blauflügelsiva
Actinodura egertoni_Roststirn-Meisenhäherling
Actinodura nipalensis_Nepalmeisenhäherling
Actinodura ramsayi_Brillenmeisenhäherling
Actinodura strigula_Bändersiva
Actinodura waldeni_Waldenmeisenhäherling
Actitis hypoleucos_Flussuferläufer
Actitis macularius_Drosseluferläufer
Actophilornis africanus_Blaustirn-Blatthühnchen
Adelomyia melanogenys_Schwarzohrkolibri
Aechmophorus clarkii_Clarktaucher
Aechmophorus occidentalis_Renntaucher
Aegithalos caudatus_Schwanzmeise
Aegithalos concinnus_Schwarzkehl-Schwanzmeise
Aegithalos glaucogularis_Silberkehl-Schwanzmeise
Aegithalos niveogularis_Weißkehl-Schwanzmeise
Aegithina nigrolutea_Schwarzkappeniora
Aegithina tiphia_Garteniora
Aegithina viridissima_Smaragdiora
Aegolius acadicus_Sägekauz
Aegolius funereus_Raufußkauz
Aegolius harrisii_Blassstirnkauz
